pmcid,revised_verdict,source,gene_count_reported,evidence
PMC8034085,likely_hit(regex),regex_scan,,Riskscore=0.0280×ExpANKZF1+0.0054×ExpCD44+0.3550×ExpCHST6+0.4116×ExpHS6ST2+0.1155×ExpIDUA+0.1080×ExpKIF20A+−1.274×ExpNDST3+0.0052×ExpPLOD2+0.0059×ExpVCAN+−0.011×ExpFBP1.  Fig. 3 Construction a prognostic signature using univariate Cox regression anal
PMC13504365,likely_hit(regex),regex_scan,,"RiskScore=−0.27220.70953×ADA+×CD+−0.204×HLA_DMA+−0.417×ITGAX+0.56810.8811×MYOF+×NCKAPL+−1.033×PTPRC+−0.161×RENBP+−0.393×TNFAIP82L.  Using the formula, patients were assigned a prognosis‐related RiskScore and then divided into high‐ and low‐risk group"
PMC13417714,unreviewed_no_flag,none,,"univariate Cox screening list, not final model"
PMC13325441,likely_hit(regex),regex_scan,,risk score = (0.4585 * expression value of BID) + (− 0.0999 * expression value of CAPN2) + (0.0357 * expression value of CDKN2A) + (− 0.0445 * expression value of DLC1) + (0.1136 * expression value of GRID2) + (− 0.0968 * expression value of IFNG) + 
PMC11711411,likely_hit(regex),regex_scan,,Risk score = −0.4029086 × IFNB1 + 0.2958303 × IGF2 + (−0.3709597) × CD40LG + 0.2803076 × IL1B × (−0.3618734) × IL21 + (−0.5388026) × CD38. All OC patients were classified into high-risk and low-risk groups using the median risk cutoff.Fig. 4 Differen
PMC11439862,unreviewed_no_flag,none,,"univariate Cox regression per caption (old .xls format, not readable by scanner but caption confirms univariate screening)"
PMC11211538,likely_hit(regex),regex_scan,,riskScore = (−0.2274916 × PTPRJ expression) + (−0.2093238 × FCN1 expression) + (−0.1423479 × SVIP expression) + (−0.0223379 × LILRB1 expression) + (0.0316062 × LST1 expression). K-M analysis reveals the impact of each member of the riskScore model on
PMC11192027,unreviewed_no_flag,none,,GSVA pathway enrichment results
PMC10683585,unreviewed_no_flag,none,,candidate gene pool (201 genes)
PMC10669360,unreviewed_no_flag,none,,"per-sample expression/clustering matrix, not a coefficient table"
PMC10522364,unreviewed_no_flag,none,,"univariate Cox screening list, not final model"
PMC10125743,likely_hit(regex),regex_scan,,risk score = −0.0308 × ACSS1 + 0.1205 × ERO1A-0.2470 × GPC4-0.0063 × MERTK + 0.0497 × PKP2 + 0.0584 × TXN-0.0491 × ZNF29. The samples were divided into high- and low-risk groups according to the obtained risk scores. Kaplan-Meier survival analysis wa
PMC9556868,unreviewed_no_flag,none,,KEGG pathway enrichment results
PMC8513715,unreviewed_no_flag,none,,"gene-lncRNA coexpression correlation table, not a Cox model"
PMC13097926,unreviewed_no_flag,none,,"clinical characteristics table + candidate gene pool (amino acid metabolism genes from multiple databases), not final model"
PMC12730545,likely_hit(regex),regex_scan,,Risk Score = (0.0009) × SDC1 + (−0.0003) × SAA1 + (−0.0576) × TDGF1 + (−0.0726) × BACH2 + (−0.0111) × IL18 + (−0.0074) × CMTM5 + (−0.0494) × ADRB1 + (−0.0048) × BCL3 + (0.0079) × CCR7 + (−0.0003) × CXCL9 + (−0.0077) × PTGER3 + (−0.0174) × TRDV1 + (−0
PMC12109955,hit,second_coder_manual,6,LASSO最终确定PAICS、ATIC、ADSS1、GMPS、APRT、HPRT1六个基因，表格3，有公式验证
PMC11891243,unreviewed_no_flag,none,,"candidate gene pool list (neutrophil-related genes), no statistical results"
PMC9201070,likely_hit(regex),regex_scan,,Table 4 Features and corresponding coefficient
PMC10721979,hit,second_coder_manual,12,riskscore = 0.813468268 × [(0.496637586 × SERP1) + (0.589598808 × BCL2L1) + (0.406009527 × RNF139) + (−0.521549002 × TSPYL2) + (−0.027972152 × ERO1A) + (0.323475966 × BFAR) + (0.476688839 × MAP3K5) + (0.025209694 × ARFGAP1) + (-0.92171365 × ATP6V0D1) + (0.152614999 × NCCRP1) + (0.005952034 × LA2G4B) + (-1.026914644 × USP19)].
PMC10369193,unreviewed_no_flag,none,,"qPCR primer sequences + GSVA/GO enrichment results, not a coefficient table"
PMC9798721,unreviewed_no_flag,none,,"docx; figure legends + candidate gene pool description (124 lipid-droplet-associated factors from literature search), not final model"
PMC8832759,unreviewed_no_flag,none,,"univariate Cox screening of lncRNA pairs (56 rows), pre-selection screening stage, and lncRNA-pair format mismatches per-gene coefficient template"
PMC13059680,unreviewed_no_flag,none,,"gene-immune-checkpoint correlation matrix; underlying model's numeric coefficients not found anywhere in package or article text (only generic formula template), known OCR-not-worth-it pattern"
PMC12768259,hit,second_coder_manual,4,Riskscore=0.0356×ACE+0.0504×SFTA3+0.0394×HSPB8+0.0568×SOD3，有具体数据
PMC12436408,unreviewed_no_flag,none,,"candidate content mismatch: caption promises final 17-gene list but actual captured sheet is a gene-miRNA correlation matrix, not the coefficient table"
PMC10056698,unreviewed_no_flag,none,,
PMC10127222,unreviewed_no_flag,none,,
PMC10290322,unreviewed_no_flag,none,,
PMC10364387,unreviewed_no_flag,none,,
PMC10470646,likely_hit(regex),regex_scan,,risk score = (0.486102936551265×DEK level) + (-0.466577382724787×RUNX1 level) + (-0.379803436002195×SMARCA4 level) + (-0.216260668499574×SREBF1 level) + (0.326358456240447×TERT level) + (0.126266167208409×TOP1 level) ( Supplementary Table S3 ). The r
PMC10666655,likely_hit(regex),regex_scan,,Table 2 The regression coefficient
PMC10683108,unreviewed_no_flag,none,,
PMC10826312,likely_hit(regex),regex_scan,,Riskscore=(0.188×BACE1_AS)+(0.334×DSTNP2)+(−0.121×PLGLA)+(0.18×SNHG3)  Fig. 2 Evaluation of a prognostically differentially expressed exosome-related lncRNA risk model. (A) LASSO coefficient profiles of 17 exosome-associated lncRNAs; (B) The optimal 
PMC10829884,likely_hit(regex),regex_scan,,Coefficients of the 10
PMC10861726,unreviewed_no_flag,none,,
PMC10881509,likely_hit(regex),regex_scan,,"risk score = (0.223 × hsa-miR-425-5p expression) + (0.181 × hsa-miR-7-5p expression). Survival analysis was carried out using Kaplan–Meier curves. Receiver operating characteristic (ROC) curves were utilized to analyze the patient’s 1-year, 3-year, a"
PMC10909353,unreviewed_no_flag,none,,
PMC10909728,likely_hit(regex),regex_scan,,"Risk score = (−0.225 × CXCL11) + 0.38 × GPR137B + (−0.344 × GZMA) + 0.216 × RAB38 + (−0.194 × TNFRSF17) +0.536 × UPP1 + 0.413 × XAF1+0.445 × XCL1 (Fig. 7C). Risk score was calculated and OS was analyzed in TCGA-COAD training cohort, verification coho"
PMC10929800,unreviewed_no_flag,none,,
PMC10933109,likely_hit(regex),regex_scan,,"Risk Score = PSMD11*0.150603712635304+PSMD14*0.193834319424803.  The training set consisted of 187 AML patient samples downloaded from the TARGET database, which were further categorized into a high-risk group (n = 94) and a low-risk group (n = 93) b"
PMC10944249,likely_hit(regex),regex_scan,,"risk score = (1.0225×expression value of miR-501-5p) + (0.7047×expression value of miR-638). The two-miRNA signature risk score was calculated for each patient in the discovery cohort (n=110). The risk score of each patient was ranked, and the median"
PMC10981052,unreviewed_no_flag,none,,
PMC10986118,unreviewed_no_flag,none,,
PMC11005085,unreviewed_no_flag,none,,
PMC11025768,likely_hit(regex),regex_scan,,Risk score = (0.426 × expression of STIP1) + (0.203 × expression of H2AFZ) + (0.421 × expression of BRIX1) + (-0.228 × expression of TUBB).  10.1371/journal.pone.0298004.g004 Fig 4 Construction of a prognostic gene risk model associated with CSCs and
PMC11026213,unreviewed_no_flag,none,,
PMC11057184,likely_hit(regex),regex_scan,,Risk score = (expr CRYZL2P − SEC16B × 1.1191) + (expr RUNDC3A − AS1 × 8.1389) - (expr HOTAIR × 0.2031) -(expr ALMS1 − IT1 × 0.5462).  All patients were divided into high- or low-risk groups based on the median risk score (Fig. 3E-F). ﻿The Kaplan-Meie
PMC11064265,likely_hit(regex),regex_scan,,"Risk Score=(0.3546×ExpressionMIR210HG)+(0.7189×ExpressionAP001528.1)+(0.3485×ExpressionAC119427.1)+(-0.5958×ExpressionAC124045.1)+(0.6929×ExpressionPTPRD-AS1)+(-1.7296×ExpressionLINC00683)+(2.2408×ExpressionKIAA0087). In addition, in order to underst"
PMC11080313,unreviewed_no_flag,none,,
PMC11102376,unreviewed_no_flag,none,,
PMC11109893,unreviewed_no_flag,none,,
PMC11134425,likely_hit(regex),regex_scan,,risk score = (0.027 × BCL2L10 × exp.) + (0.016 × MELK × Exp) + (0.247*ERO1A exp.) + (0.033*KRT8 exp.) + (0.061*KRT18 exp.) + (0.110*DDIT4 exp.) + (0.097 × PERP × Exp) + (-0.113*BTK exp.) + (-0.048*CX3CR16 exp.) + (-0.039*DAPK2 exp.). Both PCA and tee
PMC11152745,unreviewed_no_flag,none,,
PMC11163994,unreviewed_no_flag,none,,
PMC11170320,likely_hit(regex),regex_scan,,coefficient of the 5
PMC11197043,unreviewed_no_flag,none,,
PMC11231123,likely_hit(regex),regex_scan,,Risk score = FOXM1 × 0.108 + CDK1 × 0.258 + CHEK1 × 0.089 + SERPINE1 × 0.252.Fig. 2 Identification of cellular senescence pathway-related genes and construction of the prognostic signature. a The forest map in the table shows that 9 of the 20 genes w
PMC11302292,likely_hit(regex),regex_scan,,Risk score = (0.18362 × SCD expr) + (0.16029 × DDR2 expr) + (0.12655 × MT1A expr). The multivariate Cox’s regression coefficients for each hub gene were displayed using a forest plot in Fig. 3A. The links between risk score and gene expression were v
PMC11315143,likely_hit(regex),regex_scan,,RiskScore=ERG*0.48100989+IVL*0.388510938+ALDOA*0.380802265+ADCY6*0.27004406+CFI*0.239930279+KLF10*0.203280145+ITPKA*0.192615021+NRP1*0.149238819+CSF3*0.137898021+SLC12A5*0.096493715+FADS2*−0.018734706+SRC*−0.070486597+GLDC*−0.072744399+NDRG2*−0.13474
PMC11319968,likely_hit(regex),regex_scan,,Risk score=0.7672×ELFN1-AS1+3.0007×CYP2U1-AS1      +1.5786×AL162274.1−1.7503×LINC02328      +3.4881×AP000785.1−0.6993×VPS9D1-AS1 [2]  Figure 4 Screening of the related CSRDEGs. (A) Network diagram of 11 CSRDEGs and 133 CSR-lncRNAs by univariate Cox r
PMC11336146,unreviewed_no_flag,none,,
PMC11377409,unreviewed_no_flag,none,,
PMC11380221,unreviewed_no_flag,none,,
PMC11390420,unreviewed_no_flag,none,,
PMC11417173,unreviewed_no_flag,none,,
PMC11437100,likely_hit(regex),regex_scan,,Table 1 presents the information on NRGlncRNAs and coefficient; Table 1 The information of NRGlncRNAs and coefficient
PMC11443174,unreviewed_no_flag,none,,
PMC11458410,likely_hit(regex),regex_scan,,Risk score = (0.021 * DCTPP1) + (0.434 * FEZ1) + (0.085 * KMO) + (-0.017 * NME3) + (0.021 * CCR7) + (0.023 * ISOC2) + (-0.974 * STAR) + (0.033 * COMTD1) + (-5.701 * ESR2). This formula stratified BC samples into high-risk and low-risk groups based on
PMC11462029,unreviewed_no_flag,none,,
PMC11496652,likely_hit(regex),regex_scan,,Risk score = (0.174 * expression of CNTNAP2) + (-0.026 * expression of CLDN18) + (0.032 * expression of SPRR1B) + (0.230 * expression of ANO1) + (0.032 * expression of CYP3A5) + (-0.012 * expression of CAPN13) + (0.031 * expression of MSLNL) + (0.055
PMC11537572,likely_hit(regex),regex_scan,,risk score = (-0.836259803 × PIK3C2A) + (0.851085614 × ZBTB11) + (0.107253876 × AFF4) + (0.645611317 × ATRX) + (-0.017219458 × HECTD1) + (-1.587363344 × CREB1) + (0.234581405 × CCNT1) + (0.798338741 × CLOCK) + (0.275518221 × APC) + (0.037564530 × USP
PMC11549074,unreviewed_no_flag,none,,
PMC11586327,unreviewed_no_flag,none,,
PMC11621381,unreviewed_no_flag,none,,
PMC11625674,likely_hit(regex),regex_scan,,"risk score = (0.3910×PPP2R3A expression) + (0.2288×CERCAM expression) + (0.1782×CNTN1 expression) + (0.1137×CES1 expression) + (−0.2256×PIK3IP1 expression) + (−0.2775×CD96 expression). Based on the median risk score, patients in both the training and"
PMC11657287,likely_hit(regex),regex_scan,,Risk score = (− 0.276) * TSC22D3 + 0.237 * SQLE + 0.360 * ZNF419 + 0.216 * TFRC. KM curves indicated that patients in the high-risk group had significantly worse OS compared to those in the low-risk group (p = 0.0011) (Fig. 4A). The ROC analysis yiel
PMC11657507,unreviewed_no_flag,none,,
PMC11700244,unreviewed_no_flag,none,,
PMC11717914,likely_hit(regex),regex_scan,,"Risk score = (0.267 * ACACB) + (0.017 * FZD9) + (− 0.210 * PTPMT1) + (0.018 * STXBP1) + (− 0.003 * EYA2) + (0.492 * FAM72A) + (0.986 * UBL4B) + (− 0.123 * PET100). Based on the median value of the risk score, we categorized the samples from both the "
PMC11742449,likely_hit(regex),regex_scan,,"RiskScore = 0.0099*PDHA1.  + 0.1906*GLS.  + 0.1684*CDKN2A.  + 0.0673*PPAT.  + 0.0543*CDK5RAP1.  + 0.0527*ATP7B.  The final area under the curve (AUC) values obtained via ROC analysis were 0.61 at 365 days, 0.70 at 1095 days, and 0.71 at 1825 days, de"
PMC11751285,unreviewed_no_flag,none,,
PMC11813837,likely_hit(regex),regex_scan,,"Risk Score=0.3909×EREG+0.29×BDKRB1+0.0977×DCBLD2+0.0041×CD14+0.1921×AHR+0.0724×CLEC5A+0.4932×LTA-0.0127×SLC4A4+0.0815×LY6E.  Based on the receiver operating characteristic (ROC) curve analysis, we found a high level of accuracy in predicting mortalit"
PMC11836339,likely_hit(regex),regex_scan,,Table 1 Risk coefficient; Table 2 Body weight and lung coefficient
PMC11864952,likely_hit(regex),regex_scan,,"RiskScore=ANXA2 * (0.0548)+AP0A1 * (−0.0014)+EZH2 * (0.3410)+IGF2BP3 * (0.0023)+SQSTM1 * (0.0879)+TNFRSF11B * (0.0299)  Figure 4 LASSO regression analysis. (A, B) Plots of prognostic risk model (A) and variable trajectories (B) of the LASSO regressio"
PMC11926318,likely_hit(regex),regex_scan,,"Risk score = −0.2553 * UCP2 + 0.6234 * LEPR + 0.3028 * TFRC—0.6638 * RNaseH2A.Fig. 2 Development and assessment of a risk prediction model for CC. A Cross-validation curve of LASSO regression analysis, where higher values on the vertical axis indicat"
PMC11954311,unreviewed_no_flag,none,,
PMC11979277,unreviewed_no_flag,none,,
PMC11999454,likely_hit(regex),regex_scan,,risk score = LINC01876 × (0.1788) + FAM83A-AS1 × (0.0325) + AL031667.3 × (0.1646) + FENDRR × (−0.2349) + AC125807.2 × (0.1699) + AP002761.1 × (−0.4219) + AC107959.3 × (0.1277) + MYO16-AS1 × (0.1149) + AL606489.1 × (0.1250) + AC026355.2 × (−0.2579) + 
PMC12024913,unreviewed_no_flag,none,,
PMC12025183,unreviewed_no_flag,none,,
PMC12047781,unreviewed_no_flag,none,,
PMC12082951,unreviewed_no_flag,none,,
PMC12084375,unreviewed_no_flag,none,,
PMC12144798,unreviewed_no_flag,none,,
PMC12148105,unreviewed_no_flag,none,,
PMC12167356,unreviewed_no_flag,none,,
PMC12169781,likely_hit(regex),regex_scan,,Table 1 Candidate genes and coefficient
PMC12218319,unreviewed_no_flag,none,,
PMC12246268,unreviewed_no_flag,none,,
PMC12268875,likely_hit(regex),regex_scan,,Table 1 Eight prognostic genes and their coefficient
PMC12307155,unreviewed_no_flag,none,,
PMC12311075,likely_hit(regex),regex_scan,,Risk score = (0.015) * ABCA2 + (− 0.048) * ABCA8 + (0.628) * ACADVL + (− 0.054) * CYP27A1 + (− 0.174) * EGF + (− 0.102) * EPHX2 + (0.465) * FDPS + (− 0.023) * FMO5 + (− 0.273) * GUSB + (− 0.066) * HMGCS2 + (0.366) * MSR1 + (0.120) * PMVK + (0.269) * 
PMC12318951,likely_hit(regex),regex_scan,,"risk score = 2.74415*e(0.4763*NOD2−0.3042*PLCG1). This risk score model had good universality (the related information is provided in Supplementary Excel File 2 ). Based on the risk score, patients with GBM were divided into a high- and a low-risk gr"
PMC12325781,unreviewed_no_flag,none,,
PMC12353749,likely_hit(regex),regex_scan,,risk score = ExpDNM2 × 0.133679 + ExpPOMC × 0.591935 + ExpHSP90B1× + ExpPOMC × 0.591935 + ExpCALM1 × 0.221127 + ExpACACA × 0.889051. All UVM patients were classified into high-risk and low-risk groups based on the median risk score (0.960617). Kaplan
PMC12366638,unreviewed_no_flag,none,,
PMC12378849,unreviewed_no_flag,none,,
PMC12391097,likely_hit(regex),regex_scan,,"Risk Score = (0.3118) × TRAF5 + (0.206) × CAMK2A + (−0.232) × CHMP4C + (0.0474) × IL33 + (−0.1772) × IRF9. Patients were stratified into high-risk and low-risk groups based on their risk scores, using the median risk value as the threshold. Figure 7C"
PMC12392417,unreviewed_no_flag,none,,
PMC12402859,likely_hit(regex),regex_scan,,Risk score=(0.04223596 × MMADHC) + (0.0910999 × SOD2) + (0.08776809 × HTATIP2) + (0.04116991 × CYCS) + (−0.05948219 × MPC1) + (−0.09171416 × AK2) + (0.05753366 × MRPL44) + [0.01824556 × transforming growth factor β regulator 4 (TBRG4)] + [0.09307276 
PMC12405417,unreviewed_no_flag,none,,
PMC12450679,unreviewed_no_flag,none,,
PMC12461108,unreviewed_no_flag,none,,
PMC12505621,unreviewed_no_flag,none,,
PMC12567641,unreviewed_no_flag,none,,
PMC12585956,likely_hit(regex),regex_scan,,"Risk score = (0.45326 × NOTCH2 expression) + (0.32491 × KRT18 expression) + (0.23260 × H1–2 expression).  In the TCGA-PAAD cohort, patients were stratified into high-risk and low-risk groups based on the median risk score (Supplementary Table S2). As"
PMC12589231,likely_hit(regex),regex_scan,,"riskscore=(0.227×MTHFD2)+(0.018×TFRC)-(0.07×JUN)-(0.03×IRF7)-(0.01×PPP1R15A)-(0.05×GZMB)-(0.147×BCL2A1)  The coefficients of each prognostic gene were listed in Online Resource S9. Based on these coefficients, the risk score for each BRCA patient was"
PMC12630681,likely_hit(regex),regex_scan,,"risk score = 0.9136× EZH2exp + 0.1365 × RNF2 exp + 0.0698 × CCNE1exp + (-0.2412) × E2F1exp + (-0.1026) × MDM2exp + 0.0965 × CDK4exp. Based on the optimal cut-off value, we subsequently divided cholangiocarcinoma cases into groups with high and low CS"
PMC12637038,unreviewed_no_flag,none,,
PMC12666366,likely_hit(regex),regex_scan,,Table 3Gene Symbol	Coefficient
PMC12668565,likely_hit(regex),regex_scan,,Risk score = (−0.0025) × NOS2 + (−0.0008) × NOX1 + 0.0155 × TRIB2 + 0.0028 × CAV1 + 0.2237 × ENO3 + 0.0084 × FZD7 + 0.0142 × ULK1 + 0.0230 × AKR1C1. Patients were assigned to either the high‐risk or low‐risk group in a 2:1 ratio based on the risk sco
PMC12672885,likely_hit(regex),regex_scan,,"Risk score=2.9692×TREX1+0.4886×NOX4+0.1914×RRM2  Subsequently, patients were categorized into high-risk and low-risk groups based on the median risk scores. Kaplan-Meier survival analysis revealed that the high-risk cohort exhibited a significantly p"
PMC12702848,unreviewed_no_flag,none,,
PMC12702948,likely_hit(regex),regex_scan,,Risk score = (0.4500 × TPST2) + (0.1514 × HIF1A) + (0.1571 × KIF21B) + (-0.6397 × MCPH1) + (-0.5123 × MAST4) + (0.3354 × ANXA2) + (-0.4341 × ALG14) + (-0.2931 × PQLC3) + (0.4405 × RANGAP1). The results of the multivariate regression analysis are show
PMC12721737,unreviewed_no_flag,none,,
PMC12731238,unreviewed_no_flag,none,,
PMC12770607,likely_hit(regex),regex_scan,,"RiskScore = hsa-mir-621 × (−0.121994968) + hsa-mir-454 × (−0.047356538) + hsa-mir-653 × 0.0801983486745445 + hsa-mir-149 × 0.265842951894282. Based on the risk score, samples were categorized into high-risk and low-risk groups. Kaplan-Meier survival "
PMC12830534,unreviewed_no_flag,none,,
PMC12864644,likely_hit(regex),regex_scan,,"Riskscore = (0.0326 * expression of GLIPR2) + (0.1586 * expression of ANP32E) + (0.0740 * expression of LIPT1) + (− 0.2013 * expression of ALAD) + (0.2125 * expression of ARSK) + (0.0141 * expression of PGAM1). Based on the median risk score, patient"
PMC12903564,unreviewed_no_flag,none,,
PMC12923586,unreviewed_no_flag,none,,
PMC12928886,likely_hit(regex),regex_scan,,Table 1 shows the coefficient; Table 1 Coefficient
PMC13009203,unreviewed_no_flag,none,,
PMC13138313,unreviewed_no_flag,none,,
PMC13140268,unreviewed_no_flag,none,,
PMC13190119,likely_hit(regex),regex_scan,,"risk score = (–0.164390187) * MYBBP1A expression level + (–0.272783415) * CCDC134 expression level + (–0.595392875) * MCPH1 expression level + (–0.060470092) * CHST6 expression level. Based on the median risk score (–2.211223), the ESCC samples were "
PMC13201820,likely_hit(regex),regex_scan,,Risk score = (-0.0776)*OGFR.AS1+(-0.0153)*AC114760.2 + (-0.0742)*LINC01976 + (-0.0251)*AC016813.1 + (0.0913)*AP003419.2 + (-0.0405)*COL4A2.AS1 + (-0.0902)*AL133330.1+(-0.0540)*AL391863.1+ (0.2896)*AC090236.2 + (-0.9196)*SMIM25 + (0.2896)*HIF1A.AS2. T
PMC13239323,unreviewed_no_flag,none,,
PMC13285077,unreviewed_no_flag,none,,
PMC13381424,likely_hit(regex),regex_scan,,risk score = INPP4B expression × 0.042136435 + SLCO1B3 expression × 0.224469144 + LIPH expression × 0.346856277 + TGM2 expression × 0.260218695 + ACSL5 expression × (-0.037102141) + SLC2A1 expression × (-0.050781587) + EPHX2 expression × 0.029454143 
PMC13393646,unreviewed_no_flag,none,,
PMC13412633,unreviewed_no_flag,none,,
PMC13415572,unreviewed_no_flag,none,,
PMC13415585,likely_hit(regex),regex_scan,,Risk score = (0.248 × phosphoglycerate mutase family member 4 (PGAM4)) + (–0.088 × phosphoglycerate kinase 1 (PGK1)) + (0.317 × serine racemase (SRR)) + (0.080 × agmatinase (AGMAT)) + (0.142 × SR spermidine synthase (SRM)) + (0.178 × SMS) + (0.262 × 
PMC13437700,likely_hit(regex),regex_scan,,Risk Score = 0.1414×ABCA1 + 0.0047×IL1R1 + 0.0523×SERPINE1 - 0.1209×HPN + 0.3444×(Age=51-65) + 1.1976×(Age>65) + 0.0262×(T stage=T2) + 0.3108×(T stage=T3) + 0.6215×(T stage=T4) + 0.8394×(N stage= Node-positive). The risk score for each patient was ca
PMC13439775,unreviewed_no_flag,none,,
PMC13481913,unreviewed_no_flag,none,,
PMC7969881,likely_hit(regex),regex_scan,,"risk score = 0.317856 × ENO3 + 0.027138 × P4HA1 + 0.039965 × GPC1 + 0.070012 × SPAG4 + 0.044451 × STC2, while ROC and Kaplan–Meier curves were used to assess the prognostic values of the risk scores (Figures 5C). The area under the ROC curves (AUCs) "
PMC8258938,likely_hit(regex),regex_scan,,risk score = (0.1500 × mRNA level of ANGPTL4) + (0.3194 × mRNA level of PYGB) + (− 0.2542 × mRNA level of ISG20) + (− 0.2911 × mRNA level of SEH1L) + (0.1492 × mRNA level of IRS2). The patients were stratified into high-risk and low-risk groups accor
PMC8546174,likely_hit(regex),regex_scan,,risk score = –0.828 × AC087277.2 + 0.989 × AC007991.4–5.396 × AC008494.3–0.151 × AC254629.1–1.435 × AL121583.1. Patients in the training cohort were grouped into low-risk and high-risk groups according to the median value of the risk scores. The Kapl
PMC8554127,likely_hit(regex),regex_scan,,risk score = (1.083 × AC009948.2 expression) + (−0.303 × AC011752.1 expression) + (−0.148 × AC018752.1 expression) + (−0.002 × AF117829.1 expression) + (0.616 × AL008718.3 expression) + (0.334 × AL133243.3 expression) + (−0.943 × AL158071.5 expressio
PMC8585518,likely_hit(regex),regex_scan,,Risk score = (−0.437) × expression quantity (Exp) of ADPGK-AS1 + (−0.004) × Exp of AC103591.3 + (−0.270) × Exp of AC018529.1 + (−0.017) × Exp of AC010175.1 + (−0.052) × Exp of AC016747.2 + (−1.080) × Exp of AC007613.1 + (−0.031) × Exp of AC026355.2 +
PMC8607265,likely_hit(regex),regex_scan,,risk score = (−0.25414) × ISG20 expression level + 0.07897 × CITED2 expression level + 0.11769 × PYGB expression level + 0.09112 × IRS2 expression level + 0.06399 × ANGPTL4 expression level + 0.04811 × TGFBI expression level + 0.03555 × LHX9 expressi
PMC8884161,unreviewed_no_flag,none,,
PMC9115802,unreviewed_no_flag,none,,
PMC9163712,likely_hit(regex),regex_scan,,TABLE 2 The correlation coefficient
PMC9248105,unreviewed_no_flag,none,,
PMC9428265,unreviewed_no_flag,none,,
PMC9445491,unreviewed_no_flag,none,,
PMC9533718,likely_hit(regex),regex_scan,,coefficients of the 3
PMC9646859,unreviewed_no_flag,none,,
PMC9741981,likely_hit(regex),regex_scan,,risk score = exp/FHL1 × (−0.04395) + exp/CTGF × (−0.13087) + exp/FOXP2 × (−0.05892) + exp/FBLN5 × (−0.19037) + exp/WT1 × 0.560368 + exp/IL11 × 0.448262 + exp/AQP9 × 0.088904 + exp/TGFBR3 × (−0.18178) + exp/WNT11 × (−0.02575) + exp/UHRF1 × 0.178616. T
PMC9744783,likely_hit(regex),regex_scan,,"Riskscore = (COL5A1×0.487)+(ALDH2×-0.252)+(KIF20A×0.337)+(ADH1B×-0.151)+(SDC1×0.223)+(VCAN×-0.406) ( Figures 4B, C ).  Figure 4 (A) Nomogram of prognostic model. (B) Single-factor COX regression analysis. (C) Multi-factor COX analysis.  Table 2 Chara"
PMC9775483,likely_hit(regex),regex_scan,,Risk Score = expression of HTRA1 × (−0.349596300606235) + expression of RBBP7 × (−0.230030729846002) + expression of NFE2L2 × (−0.172501026570002) + expression of SCAF11 × (−0.0178575107829167) + expression of ABL1 × 0.0483720222894683 + expression o
PMC9814973,likely_hit(regex),regex_scan,,risk score = (exp. TBX21* -0.56) + (exp. ZFHX2* 1.05) +(exp. E2F7*0.340957721) + (exp. HIST2H2BE* -0.58) + (exp. LTBP1* -0.54) + (exp. SIAE* 0.69) + (exp. HIST1H2AL* -0.61) + (exp. TSPAN9* 0.86). The median risk score assigned these 48 SCLC patients 
PMC9872116,unreviewed_no_flag,none,,
PMC9905418,likely_hit(regex),regex_scan,,Table 2 The regression coefficient
PMC9909968,likely_hit(regex),regex_scan,,Risk score = -0.4253 * expression of NOG + 0.3954 *expression of IGFBP2.  FIGURE 1 Construction of a risk model associated with IDH1 and immune status. (A–B) Nine candidate genes for risk modeling by LASSO Cox regression analysis; (C) multivariate an
