PMCID,model_id,标题,癌种(归因参考图谱),参考数据集,基因数,K_细胞类型数,众数细胞类型,众数细胞类型大类,二项检验p值,FDR校正q值,FDR<0.05显著,基因数<6检验功效不足,候选池同义重复,来源批次
PMC13097926,PMC13097926,Amino acid metabolism-related genes signature correlates with immune infiltration and predicts clinic prognosis in osteosarcoma,骨肉瘤,OS_GSE162454,5,8,Malignant,Malignant,0.01605224609375,0.067959,False,True,False,miss_pool_recovery_173
PMC13140166,PMC13140166,Single‐Cell Sequencing Data Revealed Mechanisms of Interactions Between Tumor Cells and Cancer‐Associated Fibroblasts in Metastatic Colorectal Cancer,结直肠癌,GSE81861,6,7,Fibroblast,Stromal_Vascular,8.499859752314083e-06,0.000341,True,False,False,miss_pool_recovery_173
PMC13140268,PMC13140268,Analysis of Autophagy‐Related Gene Signature Associated With Clinical Prognosis and Immune Microenvironment in Colorectal Cancer,结直肠癌,GSE81861,25,7,Endothelial,Stromal_Vascular,0.1362910787869845,0.210024,False,False,False,miss_pool_recovery_173
PMC13200625,PMC13200625,Carbohydrate metabolism and autophagy signature predicts prognosis and immune microenvironment of acute myeloid leukemia,急性髓系白血病,AML_GSE116256,4,13,Mono/Macro,Immune_Hematopoietic,0.0319666678337593,0.09875,False,True,False,miss_pool_recovery_173
PMC13201820,PMC13201820,Construction and validation of a novel prognostic signature that correlates with immune infiltration based on glycolysis related lncRNAs in osteosarcoma,骨肉瘤,OS_GSE162454,8,8,Fibroblasts,Stromal_Vascular,0.2636951804161072,0.318594,False,False,False,miss_pool_recovery_173
PMC13239323,PMC13239323,Development and Validation of a Cuproptosis‐Based Risk Score Model for Predicting Neoadjuvant Chemotherapy Response in Breast Cancer: A Transcriptomic Analysis,乳腺癌,GSE176078,40,9,Cancer Epithelial,Malignant,0.0009881175009105,0.009916,True,False,False,miss_pool_recovery_173
PMC13265210,PMC13265210,The flavonoid astragalin induces apoptosis in lung adenocarcinoma and correlates with a prognostic cell cycle gene signature associated with PANoptosis,非小细胞肺癌,NSCLC_GSE131907,4,3,CD8T,Immune_Hematopoietic,0.1111111111111111,0.193927,False,True,False,miss_pool_recovery_173
PMC13381424,PMC13381424,Identification of prognostic genes and development of a risk model for pancreatic cancer based on hypoxia- and lipid metabolism-related genes,胰腺癌,PAAD_GSE154778,7,6,Epithelial,Epithelial_mixed,0.0957754629629629,0.185606,False,False,False,miss_pool_recovery_173
PMC13408425,PMC13408425,An Auto-RS Signature for Prognostic Stratification and Drug Sensitivity Prediction in Osteosarcoma,骨肉瘤,OS_GSE162454,4,8,Fibroblasts,Stromal_Vascular,0.078857421875,0.160572,False,True,False,miss_pool_recovery_173
PMC13414059,PMC13414059,Identification and Validation of a Lipid Metabolism-Related Gene Signature for Predicting Prognosis and Immunotherapy Response in Oral Squamous Cell Carcinoma,口腔鳞癌,OSCC_GSE172577,16,11,Ductal,Epithelial_mixed,3.0682739079141057e-05,0.000718,True,False,False,miss_pool_recovery_173
PMC13415585,PMC13415585,Metabolic-immunoregulatory subtypes reveal prognostic and therapeutic insights in multiple primary lung cancer,非小细胞肺癌,NSCLC_GSE131907,2,3,CD8T,Immune_Hematopoietic,0.1111111111111111,0.193927,False,True,False,miss_pool_recovery_173
PMC13417714,PMC13417714,Mining Chemotherapy Resistance Related Genes in Breast Cancer to Construct a New Prognosis Prediction Model‐Based on GEO Database and Real‐World Study,乳腺癌,GSE176078,37,9,Cancer Epithelial,Malignant,2.1878283920962393e-05,0.000559,True,False,False,miss_pool_recovery_173
PMC13419606,PMC13419606,Keratin gene expression signature predicts prognosis and immunotherapy efficacy in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,4,3,CD8T,Immune_Hematopoietic,0.1111111111111111,0.193927,False,True,False,miss_pool_recovery_173
PMC13437700,PMC13437700,Establishment and evaluation of novel prognostic biomarkers based on systemic coagulation-inflammation index and related genes in breast cancer,乳腺癌,GSE176078,4,9,Myeloid,Immune_Hematopoietic,0.3757049230300259,0.393929,False,True,False,miss_pool_recovery_173
PMC13490468,PMC13490468,Integrative machine learning and multi-omics analysis reveals ATIC as a promoter of hepatocellular carcinoma progression,肝细胞癌,GSE151530,4,6,Malignant cells,Malignant,0.0162037037037037,0.067959,False,True,False,miss_pool_recovery_173
PMC13504365,PMC13504365,Identification of PD‐1‐Related Genes as Prognostic Biomarkers in Lung Adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,5,3,CD8T,Immune_Hematopoietic,0.0452674897119341,0.114596,False,True,False,miss_pool_recovery_173
PMC6932884,PMC6932884,Glycolysis gene expression profilings screen for prognostic risk signature of hepatocellular carcinoma,肝细胞癌,GSE151530,5,6,Malignant cells,Malignant,0.0033436213991769,0.02237,True,True,False,miss_pool_recovery_173
PMC7523182,PMC7523182,Identification of a Metabolism-Related Risk Signature Associated With Clinical Prognosis in Glioblastoma Using Integrated Bioinformatic Analysis,胶质瘤,Glioma_GSE131928,16,8,NPC-like Malignant,Malignant,0.1301588078638609,0.208294,False,False,False,miss_pool_recovery_173
PMC7789410,PMC7789410,Construction of a nine DNA repair-related gene prognostic classifier to predict prognosis in patients with endometrial carcinoma,子宫内膜癌,UCEC_GSE139555,9,6,Fibroblasts,Stromal_Vascular,0.0011357754788396,0.011005,True,False,False,miss_pool_recovery_173
PMC7821871,PMC7821871,Identification of a Novel Glycolysis-Related Gene Signature for Predicting Breast Cancer Survival,乳腺癌,GSE176078,11,9,Cancer Epithelial,Malignant,0.3498914660565181,0.373838,False,False,False,miss_pool_recovery_173
PMC7847640,PMC7847640,Construction of a Glycolysis-related long noncoding RNA signature for predicting survival in endometrial cancer,子宫内膜癌,UCEC_GSE139555,2,6,Tprolif,Immune_Hematopoietic,0.3055555555555555,0.346214,False,True,False,miss_pool_recovery_173
PMC7969881,PMC7969881,Identification of Five Glycolysis-Related Gene Signature and Risk Score Model for Colorectal Cancer,结直肠癌,GSE81861,5,7,Macrophage,Immune_Hematopoietic,0.1517819955970726,0.228079,False,True,False,miss_pool_recovery_173
PMC8034085,PMC8034085,A novel 10 glycolysis-related genes signature could predict overall survival for clear cell renal cell carcinoma,肾透明细胞癌,KIRC_GSE159115,10,8,Malignant,Malignant,0.1195021532475948,0.203189,False,False,False,miss_pool_recovery_173
PMC8225435,PMC8225435,A Prognostic Model for Brain Glioma Patients Based on 9 Signature Glycolytic Genes,胶质瘤,Glioma_GSE131928,8,8,NPC-like Malignant,Malignant,0.2636951804161072,0.318594,False,False,False,miss_pool_recovery_173
PMC8261051,PMC8261051,Glycolysis-Related Gene Expression Profiling Screen for Prognostic Risk Signature of Pancreatic Ductal Adenocarcinoma,胰腺癌,PAAD_GSE154778,11,6,Malignant,Malignant,0.0245062793453318,0.088285,False,False,False,miss_pool_recovery_173
PMC8513715,PMC8513715,Identification and Validation of EMT-Related lncRNA Prognostic Signature for Colorectal Cancer,结直肠癌,GSE81861,2,7,Bcell,Immune_Hematopoietic,0.0204081632653061,0.076463,False,True,False,miss_pool_recovery_173
PMC8554127,PMC8554127,N6-Methyladenosine-Related Long Non-coding RNA Signature Associated With Prognosis and Immunotherapeutic Efficacy of Clear-Cell Renal Cell Carcinoma,肾透明细胞癌,KIRC_GSE159115,5,8,Erythroblasts,Immune_Hematopoietic,0.1207275390625,0.203189,False,True,False,miss_pool_recovery_173
PMC8607265,PMC8607265,Identification of a glycolysis‐related gene signature for survival prediction of ovarian cancer patients,卵巢癌,OV_GSE154600,9,11,Tprolif,Immune_Hematopoietic,0.1942145250922786,0.27017,False,False,False,miss_pool_recovery_173
PMC8607649,PMC8607649,An effective N6-methyladenosine-related long non-coding RNA prognostic signature for predicting the prognosis of patients with bladder cancer,膀胱癌,BLCA_GSE130001,1,4,Fibroblasts,Stromal_Vascular,0.25,0.318594,False,True,False,miss_pool_recovery_173
PMC8795518,PMC8795518,Establishing a Prognostic Signature Based on Epithelial–Mesenchymal Transition-Related Genes for Endometrial Cancer Patients,子宫内膜癌,UCEC_GSE139555,5,6,Fibroblasts,Stromal_Vascular,0.0354938271604938,0.09875,False,True,False,miss_pool_recovery_173
PMC8872195,PMC8872195,Identification of a Novel Epithelial–Mesenchymal Transition-Related Gene Signature for Endometrial Carcinoma Prognosis,子宫内膜癌,UCEC_GSE139555,6,6,Fibroblasts,Stromal_Vascular,0.0622856652949245,0.145852,False,False,False,miss_pool_recovery_173
PMC8883700,PMC8883700,Construction and validation of a novel prognostic model for lung squamous cell cancer based on N6-methyladenosine-related genes,非小细胞肺癌,NSCLC_GSE131907,3,3,CD8T,Immune_Hematopoietic,0.2592592592592592,0.318594,False,True,False,miss_pool_recovery_173
PMC8884161,PMC8884161,A New Prognostic Risk Score: Based on the Analysis of Autophagy-Related Genes and Renal Cell Carcinoma,肾透明细胞癌,KIRC_GSE159115,7,8,Epithelial,Epithelial_mixed,0.2146081924438476,0.284457,False,False,False,miss_pool_recovery_173
PMC8933961,PMC8933961,N6-methyladenosine-related lncRNAs is a potential marker for predicting prognosis and immunotherapy in ovarian cancer,卵巢癌,OV_GSE154600,13,11,Malignant,Malignant,0.0005507140879237,0.006728,True,False,False,miss_pool_recovery_173
PMC9035888,PMC9035888,TGF-β1 Promotes Autophagy and Inhibits Apoptosis in Breast Cancer by Targeting TP63,乳腺癌,GSE176078,3,9,Cancer Epithelial,Malignant,0.2976680384087791,0.345639,False,True,False,miss_pool_recovery_173
PMC9115802,PMC9115802,Comprehensive Analysis of N6-Methyladenosine-Related Long Noncoding RNA Prognosis of Acute Myeloid Leukemia and Immune Cell Infiltration,急性髓系白血病,AML_GSE116256,1,13,NK,Immune_Hematopoietic,0.0769230769230769,0.160572,False,True,False,miss_pool_recovery_173
PMC9160815,PMC9160815,Development and validation of an immune‐related prognosis signature associated with hypoxia and ferroptosis in hepatocellular carcinoma,肝细胞癌,GSE151530,5,6,Malignant cells,Malignant,0.0033436213991769,0.02237,True,True,False,miss_pool_recovery_173
PMC9170944,PMC9170944,Identification of an Epithelial-Mesenchymal Transition-Related Long Non-coding RNA Prognostic Signature to Determine the Prognosis and Drug Treatment of Hepatocellular Carcinoma Patients,肝细胞癌,GSE151530,1,6,Malignant cells,Malignant,0.1666666666666666,0.240171,False,True,False,miss_pool_recovery_173
PMC9198763,PMC9198763,Identifying glycolysis-related LncRNAs for predicting prognosis in breast cancer patients,乳腺癌,GSE176078,4,9,CAFs,Stromal_Vascular,0.3757049230300259,0.393929,False,True,False,miss_pool_recovery_173
PMC9229147,PMC9229147,Comprehensive bioinformatic analysis reveals a cancer-associated fibroblast gene signature as a poor prognostic factor and potential therapeutic target in gastric cancer,胃癌,GSE167297,6,9,Fibroblasts,Stromal_Vascular,1.88167642315892e-06,0.000172,True,False,False,miss_pool_recovery_173
PMC9246272,PMC9246272,"N7-Methylguanosine Regulatory Genes Profoundly Affect the Prognosis, Progression, and Antitumor Immune Response of Hepatocellular Carcinoma",肝细胞癌,GSE151530,5,6,Malignant cells,Malignant,0.1962448559670782,0.270318,False,True,False,miss_pool_recovery_173
PMC9247151,PMC9247151,"Identification of Hypoxia-Related Subtypes, Establishment of Prognostic Models, and Characteristics of Tumor Microenvironment Infiltration in Colon Cancer",结直肠癌,GSE81861,6,7,Endothelial,Stromal_Vascular,0.206861086792068,0.282175,False,False,False,miss_pool_recovery_173
PMC9248105,PMC9248105,N6-methyladenosine-related lncRNAs identified as potential biomarkers for predicting the overall survival of Asian gastric cancer patients,胃癌,GSE167297,3,9,Endothelial,Stromal_Vascular,0.2976680384087791,0.345639,False,True,False,miss_pool_recovery_173
PMC9353335,PMC9353335,Mitophagy-mediated molecular subtypes depict the hallmarks of the tumour metabolism and guide precision chemotherapy in pancreatic adenocarcinoma,胰腺癌,PAAD_GSE154778,4,6,Malignant,Malignant,0.1319444444444444,0.208294,False,True,False,miss_pool_recovery_173
PMC9372236,PMC9372236,Development and validation of endoplasmic reticulum stress-related eight-gene signature for predicting the overall survival of lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,7,3,CD8T,Immune_Hematopoietic,0.0004572473708276,0.006118,True,False,False,miss_pool_recovery_173
PMC9382191,PMC9382191,Novel GIRlncRNA Signature for Predicting the Clinical Outcome and Therapeutic Response in NSCLC,非小细胞肺癌,NSCLC_GSE131907,5,3,B,Immune_Hematopoietic,0.2098765432098765,0.282179,False,True,False,miss_pool_recovery_173
PMC9479339,PMC9479339,An autophagy-associated lncRNAs model for predicting the survival in non-small cell lung cancer patients,非小细胞肺癌,NSCLC_GSE131907,3,3,CD4Tconv,Immune_Hematopoietic,0.037037037037037,0.102033,False,True,False,miss_pool_recovery_173
PMC9561419,PMC9561419,Development and validation of a combined glycolysis and immune prognostic signature for lung squamous cell carcinoma,非小细胞肺癌,NSCLC_GSE131907,4,3,CD8T,Immune_Hematopoietic,0.1111111111111111,0.193927,False,True,False,miss_pool_recovery_173
PMC9569205,PMC9569205,Identification of ATG7 as a Regulator of Proferroptosis and Oxidative Stress in Osteosarcoma,骨肉瘤,OS_GSE162454,5,8,Fibroblasts,Stromal_Vascular,0.1207275390625,0.203189,False,True,False,miss_pool_recovery_173
PMC9578220,PMC9578220,A novel chromatin regulator-related immune checkpoint related gene prognostic signature and potential candidate drugs for endometrial cancer patients,子宫内膜癌,UCEC_GSE139555,9,6,Treg,Immune_Hematopoietic,0.1782595942564649,0.250455,False,False,False,miss_pool_recovery_173
PMC9589509,PMC9589509,"Identification of a dysregulated CircRNA-associated gene signature for predicting prognosis, immune landscape, and drug candidates in bladder cancer",膀胱癌,BLCA_GSE130001,10,4,Myofibroblasts,Stromal_Vascular,0.2241249084472656,0.295677,False,False,False,miss_pool_recovery_173
PMC9617384,PMC9617384,A novel stemness-hypoxia-related signature for prognostic stratification and immunotherapy response in hepatocellular carcinoma,肝细胞癌,GSE151530,7,6,CAFs,Stromal_Vascular,0.0957754629629629,0.185606,False,False,False,miss_pool_recovery_173
PMC9641162,PMC9641162,Identification of tumor antigens and immunogenic cell death-related subtypes for the improvement of immunotherapy of breast cancer,乳腺癌,GSE176078,11,9,Myeloid,Immune_Hematopoietic,0.1146548254848636,0.198877,False,False,False,miss_pool_recovery_173
PMC9646859,PMC9646859,Identification of risk model based on glycolysis-related genes in the metastasis of osteosarcoma,骨肉瘤,OS_GSE162454,13,8,Fibroblasts,Stromal_Vascular,0.0689590937327011,0.15627,False,False,False,miss_pool_recovery_173
PMC9658439,PMC9658439,Identification of Hypoxia-Related Prognostic Signature and Competing Endogenous RNA Regulatory Axes in Hepatocellular Carcinoma,肝细胞癌,GSE151530,8,6,Malignant cells,Malignant,0.0306564119417771,0.097891,False,False,False,miss_pool_recovery_173
PMC9676246,PMC9676246,A Novel Glycolysis-Related Long Noncoding RNA Signature for Predicting Overall Survival in Gastric Cancer,胃癌,GSE167297,5,9,Fibroblasts,Stromal_Vascular,0.011532794797541,0.056855,False,True,False,miss_pool_recovery_173
PMC9679378,PMC9679378,Immunogenic cell death-related gene landscape predicts the overall survival and immune infiltration status of ovarian cancer,卵巢癌,OV_GSE154600,8,11,Mono/Macro,Immune_Hematopoietic,0.1602867156224798,0.23831,False,False,False,miss_pool_recovery_173
PMC9748486,PMC9748486,Pyroptosis-related lncRNAs: A novel prognosis signature of colorectal cancer,结直肠癌,GSE81861,2,7,Fibroblast,Stromal_Vascular,0.0204081632653061,0.076463,False,True,False,miss_pool_recovery_173
PMC9761315,PMC9761315,Deciphering a mitochondria-related signature to supervise prognosis and immunotherapy in hepatocellular carcinoma,肝细胞癌,GSE151530,6,6,Malignant cells,Malignant,0.0622856652949245,0.145852,False,False,False,miss_pool_recovery_173
PMC9778227,PMC9778227,A Novel Defined Pyroptosis-Related Gene Signature for the Prognosis of Acute Myeloid Leukemia,急性髓系白血病,AML_GSE116256,8,13,Tprolif,Immune_Hematopoietic,0.1214795010766794,0.203189,False,False,False,miss_pool_recovery_173
PMC9798206,PMC9798206,An autophagy-related long non-coding RNA prognostic model and related immune research for female breast cancer,乳腺癌,GSE176078,3,9,Cancer Epithelial,Malignant,0.0342935528120713,0.09875,False,True,False,miss_pool_recovery_173
PMC9853159,PMC9853159,"Comprehensive analysis of hypoxia-related genes for prognosis value, immune status, and therapy in osteosarcoma patients",骨肉瘤,OS_GSE162454,9,8,Malignant,Malignant,0.0024822801351547,0.018852,True,False,False,miss_pool_recovery_173
PMC9866886,PMC9866886,A Hypoxia Molecular Signature-Based Prognostic Model for Endometrial Cancer Patients,子宫内膜癌,UCEC_GSE139555,2,6,Fibroblasts,Stromal_Vascular,0.3055555555555555,0.346214,False,True,False,miss_pool_recovery_173
PMC9886487,PMC9886487,Exosome-Associated Gene Signature for Predicting the Prognosis of Ovarian Cancer Patients,卵巢癌,OV_GSE154600,4,11,Malignant,Malignant,0.0028003551669967,0.020177,True,True,False,miss_pool_recovery_173
PMC9906058,PMC9906058,"Ferroptosis and cuproptosis prognostic signature for prediction of prognosis, immunotherapy and drug sensitivity in hepatocellular carcinoma: development and validation based on TCGA and ICGC databases",肝细胞癌,GSE151530,9,6,Malignant cells,Malignant,0.0089500616013819,0.047182,True,False,False,miss_pool_recovery_173
PMC9909968,PMC9909968,An immune and epithelial–mesenchymal transition-related risk model and immunotherapy strategy for grade II and III gliomas,胶质瘤,Glioma_GSE131928,2,8,AC-like Malignant,Malignant,0.234375,0.304905,False,True,False,miss_pool_recovery_173
PMC9922719,PMC9922719,A novel pyroptosis gene expression-based risk score for survival in gastric cancer,胃癌,GSE167297,1,9,Epithelial,Epithelial_mixed,0.1111111111111111,0.193927,False,True,False,miss_pool_recovery_173
PMC9999016,PMC9999016,A cuproptosis-related LncRNA signature: Integrated analysis associated with biochemical recurrence and immune landscape in prostate cancer,前列腺癌,PRAD_GSE172301,1,9,Fibroblasts,Stromal_Vascular,0.1111111111111111,0.193927,False,True,False,miss_pool_recovery_173
PMC10046686,PMC10046686_pyroptosis_lncRNA_STAD,Prognosis Risk Model Based on Pyroptosis-Related lncRNAs for Gastric Cancer,胃癌,GSE167297,5,9,Fibroblasts,Stromal_Vascular,0.0982404443767041,0.187793,False,True,False,original_108
PMC10076677,PMC10076677_anoikis_lncRNA_OS,Identification and validation of an anoikis-related lncRNA signature to predict prognosis and immune landscape in osteosarcoma,骨肉瘤,OS_GSE162454,2,8,Fibroblasts,Stromal_Vascular,0.015625,0.067959,False,True,False,original_108
PMC10085621,PMC10085621_hypoxia_NSCLC,Construction and validation of a hypoxia-related risk signature identified EXO1 as a prognostic biomarker based on 12 genes in lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,12,3,CD8T,Immune_Hematopoietic,4.704191057897299e-05,0.001007,True,False,False,original_108
PMC10140328,PMC10140328_CAF_BLCA,Construction of cancer- associated fibroblasts related risk signature based on single-cell RNA-seq and bulk RNA-seq data in bladder urothelial carcinoma,膀胱癌,BLCA_GSE130001,7,4,Fibroblasts,Stromal_Vascular,0.0013427734375,0.012577,True,False,True,original_108
PMC10164321,PMC10164321_pyroptosis_HCC,Identification and in vitro and in vivo validation of the key role of GSDME in pyroptosis-related genes signature in hepatocellular carcinoma,肝细胞癌,GSE151530,2,6,TAMs,Immune_Hematopoietic,0.0277777777777777,0.094043,False,True,False,original_108
PMC10184413,PMC10184413_cuproptosis_ferroptosis_KIRC,Cuproptosis-Related Ferroptosis genes for Predicting Prognosis in kidney renal clear cell carcinoma,肾透明细胞癌,KIRC_GSE159115,6,8,Endothelial,Stromal_Vascular,0.1665229797363281,0.240171,False,False,False,original_108
PMC10287976,PMC10287976_chromatin_UVM,Tumor subtypes and signature model construction based on chromatin regulators for better prediction of prognosis in uveal melanoma,葡萄膜黑色素瘤,UVM_GSE139829,3,8,CD8T,Immune_Hematopoietic,0.04296875,0.110773,False,True,False,original_108
PMC10294479,PMC10294479_autophagy_HCC,Construction and validation of a prognostic model based on autophagy-related genes for hepatocellular carcinoma in the Asian population,肝细胞癌,GSE151530,13,6,Malignant cells,Malignant,0.0511547005221563,0.124995,False,False,False,original_108
PMC10339815,PMC10339815_DDR_lncRNA_STAD,The DNA damage repair-related lncRNAs signature predicts the prognosis and immunotherapy response in gastric cancer,胃癌,GSE167297,3,9,Fibroblasts,Stromal_Vascular,0.0342935528120713,0.09875,False,True,False,original_108
PMC10414028,PMC10414028_hypoxia_LUAD,The hypoxia-associated genes in immune infiltration and treatment options of lung adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,6,3,CD8T,Immune_Hematopoietic,0.1001371742112482,0.189298,False,False,False,original_108
PMC10469729,PMC10469729_glutamine_UCEC,Glutamine and amino acid metabolism as a prognostic signature and therapeutic target in endometrial cancer,子宫内膜癌,UCEC_GSE139555,3,6,Fibroblasts,Stromal_Vascular,0.0046296296296296,0.028336,True,True,False,original_108
PMC10469923,PMC10469923_anoikis_PRAD,An anoikis-related gene signature for prediction of the prognosis in prostate cancer,前列腺癌,PRAD_GSE172301,7,9,Fibroblasts,Stromal_Vascular,0.0040395411302059,0.026398,True,False,False,original_108
PMC10475834,PMC10475834_cuproptosis_lncRNA_LUAD,"A novel defined risk signature of cuproptosis-related long non-coding RNA for predicting prognosis, immune infiltration, and immunotherapy response in lung adenocarcinoma",非小细胞肺癌,NSCLC_GSE131907,5,3,B,Immune_Hematopoietic,0.5390946502057613,0.544912,False,True,False,original_108
PMC10531437,PMC10531437_lipid_ERstress_CRC,A Novel Lipid Metabolism and Endoplasmic Reticulum Stress-Related Risk Model for Predicting Immune Infiltration and Prognosis in Colorectal Cancer,结直肠癌,GSE81861,18,7,Fibroblast,Stromal_Vascular,0.0090670160532895,0.047182,True,False,False,original_108
PMC10564413,PMC10564413_senescence_CESC,A cellular senescence-related genes model allows for prognosis and treatment stratification of cervical cancer: a bioinformatics analysis and external verification,宫颈癌,CESC_GSE168652,6,7,Endometrial stromal cells,Stromal_Vascular,0.206861086792068,0.282175,False,False,False,original_108
PMC10599730,PMC10599730_ERstress_OSCC,Identification of an endoplasmic reticulum stress-related prognostic risk model with excellent prognostic and clinical value in oral squamous cell carcinoma,口腔鳞癌,OSCC_GSE172577,3,11,Endothelial,Stromal_Vascular,0.0232907588279489,0.084996,False,True,False,original_108
PMC10616163,PMC10616163_chromatin_HCC,"Seven chromatin regulators as immune cell infiltration characteristics, potential diagnostic biomarkers and drugs prediction in hepatocellular carcinoma",肝细胞癌,GSE151530,6,6,Malignant cells,Malignant,0.2632244513031549,0.318594,False,False,False,original_108
PMC10662873,PMC10662873_anoikis_HCC,Development of a prognostic signature based on anoikis-related genes in hepatocellular carcinoma with the utilization of LASSO-cox method,肝细胞癌,GSE151530,5,6,Malignant cells,Malignant,0.0354938271604938,0.09875,False,True,False,original_108
PMC10683111,PMC10683111_anoikis_lncRNA_HNSCC,"Predicting the prognosis, immune response, and immunotherapy in head and neck squamous cell carcinoma using a novel risk model based on anoikis-related lncRNAs",头颈鳞癌,HNSC_GSE139324,2,11,DC,Immune_Hematopoietic,0.1735537190082644,0.246306,False,True,False,original_108
PMC10791883,PMC10791883_CAF_BRCA,Integrating single-cell and bulk transcriptomic analyses to develop a cancer-associated fibroblast-derived biomarker for predicting prognosis and therapeutic response in breast cancer,乳腺癌,GSE176078,14,9,CAFs,Stromal_Vascular,3.055233251672173e-06,0.000172,True,False,True,original_108
PMC10807923,PMC10807923_anoikis_OV,Identification and Validation of a Novel Anoikis-Related Gene Signature for Predicting Survival in Patients With Serous Ovarian Cancer,卵巢癌,OV_GSE154600,13,11,Fibroblasts,Stromal_Vascular,0.0005507140879237,0.006728,True,False,False,original_108
PMC10900655,PMC10900655_lactylation_CRC,A multi-dimensional approach to unravel the intricacies of lactylation related signature for prognostic and therapeutic insight in colorectal cancer,结直肠癌,GSE81861,23,7,Endothelial,Stromal_Vascular,0.0114375350512,0.056855,False,False,False,original_108
PMC10932653,PMC10932653_chromatin_HCC,Development and validation of a chromatin regulator signature for predicting prognosis hepatocellular carcinoma patient,肝细胞癌,GSE151530,3,6,Malignant cells,Malignant,0.074074074074074,0.160572,False,True,False,original_108
PMC10980369,PMC10980369_ERstress_SKCM,Identification of an endoplasmic reticulum stress-associated gene signature to predict the immune status and prognosis of cutaneous melanoma,黑色素瘤,SKCM_GSE120575,7,10,Tprolif,Immune_Hematopoietic,0.1496944,0.226151,False,False,False,original_108
PMC11085026,PMC11085026_ESR_BRCA,Identification of Breast Cancer Subtypes Based on Endoplasmic Reticulum Stress-Related Genes and Analysis of Prognosis and Immune Microenvironment in Breast Cancer Patients,乳腺癌,GSE176078,8,9,Cancer Epithelial,Malignant,0.0499981636231944,0.123241,False,False,False,original_108
PMC11178724,PMC11178724_cuproptosis_methylation_SKCM,Cuproptosis-related DNA methylation signature predict prognosis and immune microenvironment in cutaneous melanoma,黑色素瘤,SKCM_GSE120575,5,10,Mono/Macro,Immune_Hematopoietic,0.00856,0.047182,True,True,False,original_108
PMC11297001,PMC11297001_oxidative_stress_COAD,Predictive role of oxidative stress-related genes in colon cancer: a retrospective cohort study based on The Cancer Genome Atlas,结直肠癌,GSE81861,17,7,Fibroblast,Stromal_Vascular,0.4462003992266093,0.454284,False,False,False,original_108
PMC11310873,PMC11310873_lncRNA_LUAD,Prognostic Value and Immune Landscapes of Four Types of RNA Modification Writer-Related LncRNAs Signature in Lung Adenocarcinoma,非小细胞肺癌,NSCLC_GSE131907,2,3,B,Immune_Hematopoietic,0.1111111111111111,0.193927,False,True,False,original_108
PMC11382408,PMC11382408_cuproptosis_HCC,From bioinformatics to clinical applications: a novel prognostic model of cuproptosis-related genes based on single-cell RNA sequencing data in hepatocellular carcinoma,肝细胞癌,GSE151530,6,6,TECs,Stromal_Vascular,0.0622856652949245,0.145852,False,False,False,original_108
PMC11384320,PMC11384320_m6A_ferroptosis_COAD,Characterization and validation of a prognostic model for the N6-methyladenosine-associated ferroptosis gene in colon adenocarcinoma,结直肠癌,GSE81861,6,7,Endothelial,Stromal_Vascular,0.041623813207082,0.110773,False,False,False,original_108
PMC11411761,PMC11411761_anoikis_BRCA,Anoikis-related genes in breast cancer patients: reliable biomarker of prognosis,乳腺癌,GSE176078,10,9,Cancer Epithelial,Malignant,0.018421654341914,0.072908,False,False,False,original_108
PMC11483459,PMC11483459_cuproptosis_CRC,Comprehensive analysis of cuproptosis-related genes involved in prognosis and tumor microenvironment infiltration of colorectal cancer,结直肠癌,GSE81861,2,7,Fibroblast,Stromal_Vascular,0.2653061224489796,0.318594,False,True,False,original_108
PMC11491388,PMC11491388_disulfidptosis_lncRNA_HCC,A disulfidptosis-related lncRNA signature for analyzing tumor microenvironment and clinical prognosis in hepatocellular carcinoma,肝细胞癌,GSE151530,4,6,Malignant cells,Malignant,0.1319444444444444,0.208294,False,True,False,original_108
PMC11504279,PMC11504279_hypoxia_PAAD,Establishment of a Prognostic Model for Pancreatic Cancer Based on Hypoxia-Related Genes,胰腺癌,PAAD_GSE154778,3,6,Malignant,Malignant,0.074074074074074,0.160572,False,True,False,original_108
PMC11550951,PMC11550951_cuproptosis_lncRNA_PRAD,Cuproptosis-related lncRNAs emerge as a novel signature for predicting prognosis in prostate carcinoma and functional experimental validation,前列腺癌,PRAD_GSE172301,3,9,Fibroblasts,Stromal_Vascular,0.0342935528120713,0.09875,False,True,False,original_108
PMC11564170,PMC11564170_cuproptosis_AML,Development of a prognostic model incorporating a cuproptosis-related signature and CNN3 as a predictor in childhood acute myelocytic leukemia,急性髓系白血病,AML_GSE116256,8,13,EryPro,Immune_Hematopoietic,0.1214795010766794,0.203189,False,False,False,original_108
PMC11577587,PMC11577587_glutamine_HCC,A glutamine metabolish-associated prognostic model to predict prognosis and therapeutic responses of hepatocellular carcinoma,肝细胞癌,GSE151530,4,6,Malignant cells,Malignant,0.0007716049382716,0.008273,True,True,False,original_108
